coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
AEC,4224,,DEPT,3,WR,1-5,ROL,0306,SP MTHDS TCHG AG EDUC,"Estepp,Christopher M;Myers,Brian E;",,,,
AEC,4224,,DEPT,3,TBA,,,,SP MTHDS TCHG AG EDUC,"Dyer,James E;",,,,
AEC,4228,,DEPT,3,MT,1-5,ROL,0306,LAB PRAC TCHG AGRIC,"Myers,Brian E;Stripling,Christopher T;",,,,
AEC,4228,,DEPT,3,TBA,,,,LAB PRAC TCHG AGRIC,"Dyer,James E;",,,,
AEC,4434,,9159,3,T,8-9,ROL,0205,COMM/LDRSHP GRP/TEAMS,"Carter,Hannah S;",R,9,ROL,0205
AEC,4500,,0157,3,T,6,ROL,0306,PROGRAM DEVELOP/EVAL,"Harder,Amy Marie;",R,6-7,ROL,0306
AEC,4905,,DEPT,3,M,6,LEI,0104,LDNG PER & ORG CHANGE,"Stedman,Nicole Lamee Perez;",W,6-7,LEI,0104
AEC,4905,,DEPT,VAR,TBA,,,,TEACHING AG MECHANICS,"Dyer,James E;",,,,
AEC,4905,,DEPT,3,TBA,,,,ESOL COMP STRATEGIES,"Dyer,James E;",,,,
AEC,4905,,DEPT,3,TBA,,,,TCH INDUCTION PROG,"Dyer,James E;",,,,
AEC,4905,,DEPT,4,TBA,,,,TCH ANIMAL SCIENCE,"Dyer,James E;",,,,
AEC,4905,,9112,3,M,3-4,ROL,0205,ISSUES IN AG LIFE SCI,"Irani,Tracy Anne;",W,4,ROL,0205
AEC,4930,,DEPT,3,W,8-9,AND,0134,COMM/LDR DEV CAPSTONE,"Gifford,Gregory Tim;",F,9,AND,0134
AEC,4942,,DEPT,6,TBA,,,,AGRIC EDUC INTERNSHIP,"Roberts II,Thomas G;",,,,
AEC,4942,,DEPT,VAR,TBA,,,,AGRIC EDUC INTERNSHIP,"Dyer,James E;",,,,
AEC,4948,,DEPT,VAR,TBA,,,,AGRI COMMUNICA INTERN,"Telg,Ricky W;",,,,
AEC,5032,,DEPT,3,M,2,ROL,0205,AG MEDIA WRITING,"Telg,Ricky W;",W,2-3,ROL,0205
AEC,5060,,DEPT,3,M,3-4,ROL,0205,PUB OPIN/NAT RES ISSU,"Irani,Tracy Anne;",W,4,ROL,0205
AEC,5074,,0891,3,M,7-8,ROL,0409,AG RESOU PEOPLE ENVIR,"Hartmann,Marta M;",W,7,ROL,0409
AEC,5206,,DEPT,3,,,WEB,,INSTR TECH AG LIFE SC,"Dyer,James E;",,,,
AEC,5206,,DEPT,3,,,WEB,,INSTR TECH AG LIFE SC,"Dyer,James E;",,,,
AEC,5302,,DEPT,3,,,WEB,,AGRISCIENCE ED 1,"Myers,Brian E;",,,,
AEC,5541,,DEPT,3,M,8,ROL,0205,COMM & INST TECH AG,"Telg,Ricky W;",W,7-9,ROL,0205
AEC,5545,,DEPT,3,WR,1-5,ROL,0306,SPCL METH TEACHING AG,"Myers,Brian E;",,,,
AEC,5545,,DEPT,3,TBA,,,,SPCL METH TEACHING AG,"Dyer,James E;",,,,
AEC,6229,,DEPT,3,MT,1-5,ROL,0306,LAB INSTRUCTION,"Myers,Brian E;",,,,
AEC,6316,,2402,3,W,4-6,ROL,0409,OVERVIEW INTNTL EXTEN,"Harder,Amy Marie;",,,,
AEC,6552,,2616,3,R,8-10,ROL,0306,EVAL PROGRAMS EXT ED,"Israel,Glenn D;",,,,
AEC,6767,,7824,3,W,8-10,ROL,0306,RESEARCH STRATEGIES,"Myers,Brian E;",,,,
AEC,6905,,0150,3,T,9-11,ROL,0409,INTERPERSONAL LEADERS,"Gifford,Gregory Tim;",,,,
AEC,6905,,DEPT,3,W,7-9,RNK,0215,ADV TCH IN CALS,"Roberts II,Thomas G;",,,,
AEC,6905,,DEPT,2,,,WEB,,STATISTICAL THINKING,"Myers,Brian E;",,,,
AEC,6905,,DEPT,3,TBA,,,,EXT PROG DEVELOPMENT,"Harder,Amy Marie;",,,,
AEC,6905,,DEPT,1,TBA,,,,EFFECTIVE TEACHING,"Barrick,R Kirby;",,,,
AEC,6905,,DEPT,2,TBA,,,,PUBLIC OPIN CRSE DEV,"Telg,Ricky W;",,,,
AEC,6905,,DEPT,3,TBA,,,,FOCUS GROUP RESEARCH,"Monaghan,Paul F;",,,,
AEC,6905,,DEPT,3,,,WEB,,TCHING INDUCTION PROG,"Dyer,James E;",,,,
AEC,6905,,DEPT,VAR,TBA,,,,PROB IN AG & EXT ED,"Irani,Tracy Anne;",,,,
AEC,6905,,DEPT,2,,,WEB,,STATISTICAL THINKING,"Myers,Brian E;",,,,
AEC,6905,,DEPT,VAR,TBA,,,,CURRIC PLAN IN AGR ED,"Dyer,James E;",,,,
AEC,6905,,DEPT,VAR,,,WEB,,PROB IN AG & EXT ED,"Myers,Brian E;",,,,
AEC,6905,,DEPT,3,TBA,,,,CURRIC DEV & ASSESS,"Dyer,James E;",,,,
AEC,6912,,DEPT,VAR,TBA,,,,NONTHESIS RESEARCH,"Harder,Amy Marie;",,,,
AEC,6912,,DEPT,VAR,TBA,,,,NONTHESIS RESEARCH,"Carter,Hannah S;",,,,
AEC,6912,,DEPT,VAR,,,WEB,,NONTHESIS RESEARCH,STAFF;,,,,
AEC,6933,,DEPT,2,,,WEB,,SEM AG ED/COMMUNICATI,"Myers,Brian E;",,,,
AEC,6940,,DEPT,VAR,TBA,,,,SUPERVISED TEACHING,"Myers,Brian E;",,,,
AEC,6940,,DEPT,VAR,TBA,,,,SUPERVISED TEACHING,"Roberts II,Thomas G;",,,,
AEC,6940,,DEPT,VAR,TBA,,,,AG ED INTERNSHIP,"Dyer,James E;",,,,
AEC,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Harder,Amy Marie;",,,,
AEC,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Stedman,Nicole Lamee Perez;",,,,
AEC,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Carter,Hannah S;",,,,
AEC,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Gifford,Gregory Tim;",,,,
AEC,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Myers,Brian E;",,,,
AEC,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Irani,Tracy Anne;",,,,
AEC,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Myers,Brian E;",,,,
AEC,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Roberts II,Thomas G;",,,,
AEC,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Carter,Hannah S;Osborne,Edward Wayne;",,,,
AEC,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Israel,Glenn D;",,,,
AEC,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Stedman,Nicole Lamee Perez;",,,,
AEC,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Israel,Glenn D;",,,,
AEC,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Irani,Tracy Anne;",,,,
AOM,3073,,0193,3,T,3,ROG,0110,SAFETY IN AGRICULTURE,"Robbins,John Michael;",R,3-4,ROG,0110
AOM,3432,,4294,3,,,WEB,,COMPUTERS AGR/NAT RES,"Beck,Howard W;",,,,
AOM,3432,,DEPT,3,,,WEB,,COMPUTERS AGR/NAT RES,"Beck,Howard W;",,,,
AOM,3734,,1683,3,M W F,7,ROG,0110,IRRIGA PRACT FLORIDA,"Scholtz,Richard V,III;",,,,
AOM,4434,,2945,3,M,5-6,ROG,0129,PRECISION AGRICULTURE,"Lee,Won Suk;",W,3-4,ROG,0283
AOM,4455,,4575,3,T R,2,ROG,0129,AGRI OPERATION/SYSTEM,"Porter,Wendell A;",M,3-4,ROG,0141
AOM,4905,,DEPT,VAR,TBA,,,,SPECIAL PROBLEMS,"Porter,Wendell A;",,,,
AOM,4932,,0934,3,T R,6,ROG,0129,AG CONSTRUCTION II,"Porter,Wendell A;",T,8-9,ROG,0211
AOM,4932,,0961,3,T R,6,ROG,0129,AG CONSTRUCTION II,"Porter,Wendell A;",R,8-9,ROG,0211
AOM,4932,,3891,VAR,TBA,,,,SPECIAL TOPICS,"Porter,Wendell A;",,,,
AOM,4933,,0200,1,T,5,ROG,0110,PROFESSIONAL PRACTICE,"Scholtz,Richard V,III;",,,,
AOM,4941,,DEPT,VAR,TBA,,,,FULL TIME PRAC WORK,"Porter,Wendell A;",,,,
AOM,6905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,STAFF;,,,,
AOM,6932,,DEPT,VAR,TBA,,,,SPECIAL TOPICS,STAFF;,,,,
ALS,2931,,2262,3,T R,8-9,EYN,2216,HONORS-BIOL W/FIREFLI,"Hall,Deborah A;Lloyd,James E;",,,,
ALS,3203,,8103,3,,,WEB,,PC USE IN AGRICULTURE,"Choate,Paul M;",,,,
ALS,3203,,DEPT,3,,,WEB,,PC USE IN AGRICULTURE,"Choate,Paul M;",,,,
ALS,3203,,DEPT,3,,,WEB,,PC USE IN AGRICULTURE,"Choate,Paul M;",,,,
